Receiver Account,Sender account,Amount,Date
8549,1062,92,03-03-2018 11:29:00
8549,1062,38,03-03-2018 11:29:00
8549,1062,45,03-03-2018 11:29:00
8549,1062,14,03-03-2018 11:29:00
8549,1062,86,03-03-2018 11:29:00
8549,1062,53,03-03-2018 11:29:00
8549,1062,35,03-03-2018 11:29:00
8549,1062,93,03-03-2018 11:29:00
8549,1062,61,03-03-2018 11:29:00
8549,1062,12,03-03-2018 11:29:00
8549,1062,51,03-03-2018 11:29:00
8549,1062,100,03-03-2018 11:29:00
8549,1062,89,03-03-2018 11:29:00
8549,1062,25,03-03-2018 11:29:00
8549,1062,39,03-03-2018 11:29:00
8549,1062,97,03-03-2018 11:29:00
8549,1062,51,03-03-2018 11:29:00
8549,1062,36,03-03-2018 11:29:00
8549,1062,60,03-03-2018 11:29:00
8549,1062,12,03-03-2018 11:29:00
8549,1062,29,03-03-2018 11:29:00
8549,1062,30,03-03-2018 11:29:00
8549,1062,70,03-03-2018 11:29:00
8549,1062,35,03-03-2018 11:29:00
8549,1062,57,03-03-2018 11:29:00
8549,1062,92,03-03-2018 11:29:00
8549,1062,94,03-03-2018 11:29:00
8549,1062,49,03-03-2018 11:29:00
8549,1062,31,03-03-2018 11:29:00
8549,1062,95,03-03-2018 11:29:00
8549,1062,82,03-03-2018 11:29:00
8549,1062,60,03-03-2018 11:29:00
8549,1062,14,03-03-2018 11:29:00
8549,1062,11,03-03-2018 11:29:00
8549,1062,15,03-03-2018 11:29:00
8549,1062,54,03-03-2018 11:29:00
8549,1062,99,03-03-2018 11:29:00
8549,1062,51,03-03-2018 11:29:00
2766,8830,12,03-03-2018 11:29:00
2766,8830,86,03-03-2018 11:29:00
2766,8830,74,03-03-2018 11:29:00
2766,8830,46,03-03-2018 11:29:00
2766,8830,12,03-03-2018 11:29:00
2766,8830,59,03-03-2018 11:29:00
2766,8830,75,03-03-2018 11:29:00
2766,8830,61,03-03-2018 11:29:00
2766,8830,13,03-03-2018 11:29:00
2766,8830,20,03-03-2018 11:29:00
2766,8830,95,03-03-2018 11:29:00
2766,8830,87,03-03-2018 11:29:00
2766,8830,99,03-03-2018 11:29:00
2766,8830,61,03-03-2018 11:29:00
2766,8830,76,03-03-2018 11:29:00
2766,8830,60,03-03-2018 11:29:00
2766,8830,59,03-03-2018 11:29:00
2766,8830,83,03-03-2018 11:29:00
2766,8830,46,03-03-2018 11:29:00
2766,8830,78,03-03-2018 11:29:00
2766,8830,21,03-03-2018 11:29:00
2766,8830,38,03-03-2018 11:29:00
2766,8830,27,03-03-2018 11:29:00
2766,8830,12,03-03-2018 11:29:00
2766,8830,30,03-03-2018 11:29:00
2766,8830,50,03-03-2018 11:29:00
2766,8830,66,03-03-2018 11:29:00
2766,8830,63,03-03-2018 11:29:00
2766,8830,69,03-03-2018 11:29:00
2766,8830,88,03-03-2018 11:29:00
2766,8830,93,03-03-2018 11:29:00
2766,8830,91,03-03-2018 11:29:00
2766,8830,44,03-03-2018 11:29:00
2766,8830,97,03-03-2018 11:29:00
2766,8830,84,03-03-2018 11:29:00
2766,8830,81,03-03-2018 11:29:00
2766,8830,50,03-03-2018 11:29:00
2766,8830,60,03-03-2018 11:29:00
2766,8830,74,03-03-2018 11:29:00
2766,8830,15,03-03-2018 11:29:00
2766,8830,73,03-03-2018 11:29:00
2766,8830,65,03-03-2018 11:29:00
2766,8830,10,03-03-2018 11:29:00
2766,8830,64,03-03-2018 11:29:00
2766,8830,65,03-03-2018 11:29:00
2766,8830,72,03-03-2018 11:29:00
2766,8830,19,03-03-2018 11:29:00
2766,8830,84,03-03-2018 11:29:00
2766,8830,39,03-03-2018 11:29:00
2766,8830,24,03-03-2018 11:29:00
125,7370,37,03-03-2018 11:29:00
125,7370,43,03-03-2018 11:29:00
125,7370,38,03-03-2018 11:29:00
125,7370,15,03-03-2018 11:29:00
125,7370,50,03-03-2018 11:29:00
125,7370,10,03-03-2018 11:29:00
125,7370,75,03-03-2018 11:29:00
125,7370,87,03-03-2018 11:29:00
125,7370,17,03-03-2018 11:29:00
125,7370,74,03-03-2018 11:29:00
125,7370,89,03-03-2018 11:29:00
125,7370,66,03-03-2018 11:29:00
125,7370,55,03-03-2018 11:29:00
125,7370,13,03-03-2018 11:29:00
125,7370,64,03-03-2018 11:29:00
125,7370,58,03-03-2018 11:29:00
125,7370,75,03-03-2018 11:29:00
125,7370,76,03-03-2018 11:29:00
125,7370,25,03-03-2018 11:29:00
125,7370,48,03-03-2018 11:29:00
125,7370,73,03-03-2018 11:29:00
125,7370,81,03-03-2018 11:29:00
125,7370,99,03-03-2018 11:29:00
125,7370,40,03-03-2018 11:29:00
125,7370,82,03-03-2018 11:29:00
125,7370,66,03-03-2018 11:29:00
125,7370,25,03-03-2018 11:29:00
125,7370,77,03-03-2018 11:29:00
125,7370,16,03-03-2018 11:29:00
125,7370,86,03-03-2018 11:29:00
125,7370,50,03-03-2018 11:29:00
125,7370,65,03-03-2018 11:29:00
125,7370,81,03-03-2018 11:29:00
125,7370,37,03-03-2018 11:29:00
125,7370,31,03-03-2018 11:29:00
125,7370,25,03-03-2018 11:29:00
125,7370,76,03-03-2018 11:29:00
125,7370,69,03-03-2018 11:29:00
125,7370,53,03-03-2018 11:29:00
125,7370,14,03-03-2018 11:29:00
125,7370,91,03-03-2018 11:29:00
125,7370,61,03-03-2018 11:29:00
125,7370,80,03-03-2018 11:29:00
125,7370,38,03-03-2018 11:29:00
125,7370,26,03-03-2018 11:29:00
125,7370,36,03-03-2018 11:29:00
125,7370,94,03-03-2018 11:29:00
125,7370,61,03-03-2018 11:29:00
125,7370,92,03-03-2018 11:29:00
125,7370,55,03-03-2018 11:29:00
2101,475,81,03-03-2018 11:29:00
2101,475,35,03-03-2018 11:29:00
2101,475,54,03-03-2018 11:29:00
2101,475,53,03-03-2018 11:29:00
2101,475,95,03-03-2018 11:29:00
2101,475,41,03-03-2018 11:29:00
2101,475,27,03-03-2018 11:29:00
2101,475,81,03-03-2018 11:29:00
2101,475,25,03-03-2018 11:29:00
2101,475,46,03-03-2018 11:29:00
2101,475,71,03-03-2018 11:29:00
2101,475,71,03-03-2018 11:29:00
2101,475,52,03-03-2018 11:29:00
2101,475,14,03-03-2018 11:29:00
2101,475,26,03-03-2018 11:29:00
2101,475,51,03-03-2018 11:29:00
2101,475,26,03-03-2018 11:29:00
2101,475,64,03-03-2018 11:29:00
2101,475,42,03-03-2018 11:29:00
2101,475,87,03-03-2018 11:29:00
2101,475,46,03-03-2018 11:29:00
2101,475,97,03-03-2018 11:29:00
2101,475,37,03-03-2018 11:29:00
2101,475,61,03-03-2018 11:29:00
2101,475,19,03-03-2018 11:29:00
2101,475,12,03-03-2018 11:29:00
2101,475,45,03-03-2018 11:29:00
2101,475,49,03-03-2018 11:29:00
2101,475,22,03-03-2018 11:29:00
2101,475,61,03-03-2018 11:29:00
2101,475,42,03-03-2018 11:29:00
2101,475,37,03-03-2018 11:29:00
2101,475,31,03-03-2018 11:29:00
2101,475,68,03-03-2018 11:29:00
2101,475,94,03-03-2018 11:29:00
2101,475,93,03-03-2018 11:29:00
2101,475,27,03-03-2018 11:29:00
2101,475,50,03-03-2018 11:29:00
2101,475,81,03-03-2018 11:29:00
2101,475,78,03-03-2018 11:29:00
2101,475,40,03-03-2018 11:29:00
2101,475,92,03-03-2018 11:29:00
2101,475,98,03-03-2018 11:29:00
2101,475,95,03-03-2018 11:29:00
2101,475,86,03-03-2018 11:29:00
2101,475,54,03-03-2018 11:29:00
2101,475,94,03-03-2018 11:29:00
2101,475,70,03-03-2018 11:29:00
2101,475,81,03-03-2018 11:29:00
2101,475,13,03-03-2018 11:29:00
9958,9554,30,03-03-2018 11:29:00
9958,9554,79,03-03-2018 11:29:00
9958,9554,37,03-03-2018 11:29:00
9958,9554,81,03-03-2018 11:29:00
9958,9554,68,03-03-2018 11:29:00
9958,9554,98,03-03-2018 11:29:00
9958,9554,43,03-03-2018 11:29:00
9958,9554,79,03-03-2018 11:29:00
9958,9554,62,03-03-2018 11:29:00
9958,9554,74,03-03-2018 11:29:00
9958,9554,27,03-03-2018 11:29:00
9958,9554,58,03-03-2018 11:29:00
9958,9554,57,03-03-2018 11:29:00
9958,9554,23,03-03-2018 11:29:00
9958,9554,18,03-03-2018 11:29:00
9958,9554,50,03-03-2018 11:29:00
9958,9554,47,03-03-2018 11:29:00
9958,9554,78,03-03-2018 11:29:00
9958,9554,74,03-03-2018 11:29:00
9958,9554,28,03-03-2018 11:29:00
9958,9554,75,03-03-2018 11:29:00
9958,9554,85,03-03-2018 11:29:00
9958,9554,88,03-03-2018 11:29:00
9958,9554,59,03-03-2018 11:29:00
9958,9554,68,03-03-2018 11:29:00
9958,9554,40,03-03-2018 11:29:00
9958,9554,91,03-03-2018 11:29:00
9958,9554,33,03-03-2018 11:29:00
9958,9554,36,03-03-2018 11:29:00
9958,9554,18,03-03-2018 11:29:00
9958,9554,26,03-03-2018 11:29:00
9958,9554,41,03-03-2018 11:29:00
9958,9554,95,03-03-2018 11:29:00
9958,9554,36,03-03-2018 11:29:00
9958,9554,64,03-03-2018 11:29:00
9958,9554,65,03-03-2018 11:29:00
9958,9554,82,03-03-2018 11:29:00
9958,9554,26,03-03-2018 11:29:00
9958,9554,78,03-03-2018 11:29:00
9958,9554,22,03-03-2018 11:29:00
9958,9554,25,03-03-2018 11:29:00
9958,9554,27,03-03-2018 11:29:00
9958,9554,16,03-03-2018 11:29:00
9958,9554,99,03-03-2018 11:29:00
9958,9554,51,03-03-2018 11:29:00
9958,9554,39,03-03-2018 11:29:00
9958,9554,54,03-03-2018 11:29:00
9958,9554,90,03-03-2018 11:29:00
9958,9554,74,03-03-2018 11:29:00
9958,9554,72,03-03-2018 11:29:00
5271,1260,26,03-03-2018 11:29:00
5271,1260,30,03-03-2018 11:29:00
5271,1260,43,03-03-2018 11:29:00
5271,1260,32,03-03-2018 11:29:00
5271,1260,61,03-03-2018 11:29:00
5271,1260,11,03-03-2018 11:29:00
5271,1260,67,03-03-2018 11:29:00
5271,1260,81,03-03-2018 11:29:00
5271,1260,16,03-03-2018 11:29:00
5271,1260,54,03-03-2018 11:29:00
5271,1260,32,03-03-2018 11:29:00
5271,1260,11,03-03-2018 11:29:00
5271,1260,28,03-03-2018 11:29:00
5271,1260,54,03-03-2018 11:29:00
5271,1260,72,03-03-2018 11:29:00
5271,1260,91,03-03-2018 11:29:00
5271,1260,59,03-03-2018 11:29:00
5271,1260,66,03-03-2018 11:29:00
5271,1260,68,03-03-2018 11:29:00
5271,1260,54,03-03-2018 11:29:00
5271,1260,59,03-03-2018 11:29:00
5271,1260,17,03-03-2018 11:29:00
5271,1260,86,03-03-2018 11:29:00
5271,1260,20,03-03-2018 11:29:00
5271,1260,88,03-03-2018 11:29:00
5271,1260,10,03-03-2018 11:29:00
5271,1260,39,03-03-2018 11:29:00
5271,1260,20,03-03-2018 11:29:00
5271,1260,90,03-03-2018 11:29:00
5271,1260,67,03-03-2018 11:29:00
5271,1260,30,03-03-2018 11:29:00
5271,1260,61,03-03-2018 11:29:00
5271,1260,40,03-03-2018 11:29:00
5271,1260,91,03-03-2018 11:29:00
5271,1260,70,03-03-2018 11:29:00
5271,1260,78,03-03-2018 11:29:00
5271,1260,84,03-03-2018 11:29:00
5271,1260,17,03-03-2018 11:29:00
5271,1260,60,03-03-2018 11:29:00
5271,1260,60,03-03-2018 11:29:00
5271,1260,68,03-03-2018 11:29:00
5271,1260,63,03-03-2018 11:29:00
5271,1260,82,03-03-2018 11:29:00
5271,1260,62,03-03-2018 11:29:00
5271,1260,96,03-03-2018 11:29:00
5271,1260,70,03-03-2018 11:29:00
5271,1260,65,03-03-2018 11:29:00
5271,1260,13,03-03-2018 11:29:00
5271,1260,86,03-03-2018 11:29:00
5271,1260,91,03-03-2018 11:29:00
7728,3382,72,03-03-2018 11:29:00
7728,3382,70,03-03-2018 11:29:00
7728,3382,10,03-03-2018 11:29:00
7728,3382,13,03-03-2018 11:29:00
7728,3382,100,03-03-2018 11:29:00
7728,3382,42,03-03-2018 11:29:00
7728,3382,11,03-03-2018 11:29:00
7728,3382,77,03-03-2018 11:29:00
7728,3382,96,03-03-2018 11:29:00
7728,3382,71,03-03-2018 11:29:00
7728,3382,22,03-03-2018 11:29:00
7728,3382,99,03-03-2018 11:29:00
7728,3382,60,03-03-2018 11:29:00
7728,3382,54,03-03-2018 11:29:00
7728,3382,43,03-03-2018 11:29:00
7728,3382,90,03-03-2018 11:29:00
7728,3382,35,03-03-2018 11:29:00
7728,3382,74,03-03-2018 11:29:00
7728,3382,20,03-03-2018 11:29:00
7728,3382,43,03-03-2018 11:29:00
7728,3382,56,03-03-2018 11:29:00
7728,3382,71,03-03-2018 11:29:00
7728,3382,30,03-03-2018 11:29:00
7728,3382,60,03-03-2018 11:29:00
7728,3382,13,03-03-2018 11:29:00
7728,3382,76,03-03-2018 11:29:00
7728,3382,22,03-03-2018 11:29:00
7728,3382,70,03-03-2018 11:29:00
7728,3382,64,03-03-2018 11:29:00
7728,3382,42,03-03-2018 11:29:00
7728,3382,49,03-03-2018 11:29:00
7728,3382,50,03-03-2018 11:29:00
7728,3382,11,03-03-2018 11:29:00
7728,3382,57,03-03-2018 11:29:00
7728,3382,61,03-03-2018 11:29:00
7728,3382,26,03-03-2018 11:29:00
7728,3382,71,03-03-2018 11:29:00
7728,3382,41,03-03-2018 11:29:00
7728,3382,53,03-03-2018 11:29:00
7728,3382,53,03-03-2018 11:29:00
7728,3382,28,03-03-2018 11:29:00
7728,3382,85,03-03-2018 11:29:00
7728,3382,58,03-03-2018 11:29:00
7728,3382,60,03-03-2018 11:29:00
7728,3382,99,03-03-2018 11:29:00
7728,3382,96,03-03-2018 11:29:00
7728,3382,70,03-03-2018 11:29:00
7728,3382,84,03-03-2018 11:29:00
7728,3382,37,03-03-2018 11:29:00
7728,3382,64,03-03-2018 11:29:00
3775,8380,93,03-03-2018 11:29:00
3775,8380,95,03-03-2018 11:29:00
3775,8380,83,03-03-2018 11:29:00
3775,8380,16,03-03-2018 11:29:00
3775,8380,24,03-03-2018 11:29:00
3775,8380,76,03-03-2018 11:29:00
3775,8380,29,03-03-2018 11:29:00
3775,8380,60,03-03-2018 11:29:00
3775,8380,97,03-03-2018 11:29:00
3775,8380,94,03-03-2018 11:29:00
3775,8380,30,03-03-2018 11:29:00
3775,8380,41,03-03-2018 11:29:00
3775,8380,69,03-03-2018 11:29:00
3775,8380,41,03-03-2018 11:29:00
3775,8380,15,03-03-2018 11:29:00
3775,8380,62,03-03-2018 11:29:00
3775,8380,43,03-03-2018 11:29:00
3775,8380,32,03-03-2018 11:29:00
3775,8380,68,03-03-2018 11:29:00
3775,8380,76,03-03-2018 11:29:00
3775,8380,84,03-03-2018 11:29:00
3775,8380,56,03-03-2018 11:29:00
3775,8380,18,03-03-2018 11:29:00
3775,8380,18,03-03-2018 11:29:00
3775,8380,69,03-03-2018 11:29:00
3775,8380,83,03-03-2018 11:29:00
3775,8380,20,03-03-2018 11:29:00
3775,8380,27,03-03-2018 11:29:00
3775,8380,53,03-03-2018 11:29:00
3775,8380,31,03-03-2018 11:29:00
3775,8380,21,03-03-2018 11:29:00
3775,8380,89,03-03-2018 11:29:00
3775,8380,57,03-03-2018 11:29:00
3775,8380,36,03-03-2018 11:29:00
3775,8380,44,03-03-2018 11:29:00
3775,8380,49,03-03-2018 11:29:00
3775,8380,19,03-03-2018 11:29:00
3775,8380,22,03-03-2018 11:29:00
3775,8380,11,03-03-2018 11:29:00
3775,8380,96,03-03-2018 11:29:00
3775,8380,69,03-03-2018 11:29:00
3775,8380,94,03-03-2018 11:29:00
3775,8380,53,03-03-2018 11:29:00
3775,8380,56,03-03-2018 11:29:00
3775,8380,80,03-03-2018 11:29:00
3775,8380,81,03-03-2018 11:29:00
3775,8380,84,03-03-2018 11:29:00
3775,8380,85,03-03-2018 11:29:00
3775,8380,42,03-03-2018 11:29:00
3775,8380,39,03-03-2018 11:29:00
4663,5104,71,03-03-2018 11:29:00
4663,5104,79,03-03-2018 11:29:00
4663,5104,48,03-03-2018 11:29:00
4663,5104,32,03-03-2018 11:29:00
4663,5104,66,03-03-2018 11:29:00
4663,5104,77,03-03-2018 11:29:00
4663,5104,77,03-03-2018 11:29:00
4663,5104,79,03-03-2018 11:29:00
4663,5104,73,03-03-2018 11:29:00
4663,5104,98,03-03-2018 11:29:00
4663,5104,13,03-03-2018 11:29:00
4663,5104,56,03-03-2018 11:29:00
4663,5104,63,03-03-2018 11:29:00
4663,5104,22,03-03-2018 11:29:00
4663,5104,28,03-03-2018 11:29:00
4663,5104,15,03-03-2018 11:29:00
4663,5104,35,03-03-2018 11:29:00
4663,5104,46,03-03-2018 11:29:00
4663,5104,28,03-03-2018 11:29:00
4663,5104,13,03-03-2018 11:29:00
4663,5104,79,03-03-2018 11:29:00
4663,5104,15,03-03-2018 11:29:00
4663,5104,54,03-03-2018 11:29:00
4663,5104,21,03-03-2018 11:29:00
4663,5104,30,03-03-2018 11:29:00
4663,5104,32,03-03-2018 11:29:00
4663,5104,74,03-03-2018 11:29:00
4663,5104,68,03-03-2018 11:29:00
4663,5104,54,03-03-2018 11:29:00
4663,5104,12,03-03-2018 11:29:00
4663,5104,37,03-03-2018 11:29:00
4663,5104,76,03-03-2018 11:29:00
4663,5104,51,03-03-2018 11:29:00
4663,5104,64,03-03-2018 11:29:00
4663,5104,28,03-03-2018 11:29:00
4663,5104,18,03-03-2018 11:29:00
4663,5104,73,03-03-2018 11:29:00
4663,5104,10,03-03-2018 11:29:00
4663,5104,94,03-03-2018 11:29:00
4663,5104,32,03-03-2018 11:29:00
4663,5104,69,03-03-2018 11:29:00
4663,5104,29,03-03-2018 11:29:00
4663,5104,100,03-03-2018 11:29:00
4663,5104,80,03-03-2018 11:29:00
4663,5104,33,03-03-2018 11:29:00
4663,5104,94,03-03-2018 11:29:00
4663,5104,36,03-03-2018 11:29:00
4663,5104,22,03-03-2018 11:29:00
4663,5104,98,03-03-2018 11:29:00
4663,5104,87,03-03-2018 11:29:00
4062,3666,39,03-03-2018 11:29:00
4062,3666,64,03-03-2018 11:29:00
4062,3666,86,03-03-2018 11:29:00
4062,3666,47,03-03-2018 11:29:00
4062,3666,90,03-03-2018 11:29:00
4062,3666,39,03-03-2018 11:29:00
4062,3666,33,03-03-2018 11:29:00
4062,3666,19,03-03-2018 11:29:00
4062,3666,47,03-03-2018 11:29:00
4062,3666,42,03-03-2018 11:29:00
4062,3666,96,03-03-2018 11:29:00
4062,3666,75,03-03-2018 11:29:00
4062,3666,21,03-03-2018 11:29:00
4062,3666,25,03-03-2018 11:29:00
4062,3666,45,03-03-2018 11:29:00
4062,3666,64,03-03-2018 11:29:00
4062,3666,71,03-03-2018 11:29:00
4062,3666,40,03-03-2018 11:29:00
4062,3666,24,03-03-2018 11:29:00
4062,3666,17,03-03-2018 11:29:00
4062,3666,12,03-03-2018 11:29:00
4062,3666,24,03-03-2018 11:29:00
4062,3666,31,03-03-2018 11:29:00
4062,3666,11,03-03-2018 11:29:00
4062,3666,97,03-03-2018 11:29:00
4062,3666,32,03-03-2018 11:29:00
4062,3666,30,03-03-2018 11:29:00
4062,3666,22,03-03-2018 11:29:00
4062,3666,14,03-03-2018 11:29:00
4062,3666,92,03-03-2018 11:29:00
4062,3666,20,03-03-2018 11:29:00
4062,3666,22,03-03-2018 11:29:00
4062,3666,52,03-03-2018 11:29:00
4062,3666,26,03-03-2018 11:29:00
4062,3666,17,03-03-2018 11:29:00
4062,3666,28,03-03-2018 11:29:00
4062,3666,25,03-03-2018 11:29:00
4062,3666,43,03-03-2018 11:29:00
4062,3666,26,03-03-2018 11:29:00
4062,3666,52,03-03-2018 11:29:00
4062,3666,61,03-03-2018 11:29:00
4062,3666,70,03-03-2018 11:29:00
4062,3666,26,03-03-2018 11:29:00
4062,3666,87,03-03-2018 11:29:00
4062,3666,22,03-03-2018 11:29:00
4062,3666,85,03-03-2018 11:29:00
4062,3666,28,03-03-2018 11:29:00
4062,3666,18,03-03-2018 11:29:00
4062,3666,22,03-03-2018 11:29:00
4062,3666,40,03-03-2018 11:29:00
4370,4129,36,03-03-2018 11:29:00
4370,4129,17,03-03-2018 11:29:00
4370,4129,30,03-03-2018 11:29:00
4370,4129,38,03-03-2018 11:29:00
4370,4129,23,03-03-2018 11:29:00
4370,4129,46,03-03-2018 11:29:00
4370,4129,67,03-03-2018 11:29:00
4370,4129,43,03-03-2018 11:29:00
4370,4129,65,03-03-2018 11:29:00
4370,4129,46,03-03-2018 11:29:00
4370,4129,97,03-03-2018 11:29:00
4370,4129,60,03-03-2018 11:29:00
4370,4129,43,03-03-2018 11:29:00
4370,4129,74,03-03-2018 11:29:00
4370,4129,80,03-03-2018 11:29:00
4370,4129,36,03-03-2018 11:29:00
4370,4129,26,03-03-2018 11:29:00
4370,4129,35,03-03-2018 11:29:00
4370,4129,31,03-03-2018 11:29:00
4370,4129,66,03-03-2018 11:29:00
4370,4129,56,03-03-2018 11:29:00
4370,4129,13,03-03-2018 11:29:00
4370,4129,75,03-03-2018 11:29:00
4370,4129,28,03-03-2018 11:29:00
4370,4129,86,03-03-2018 11:29:00
4370,4129,67,03-03-2018 11:29:00
4370,4129,94,03-03-2018 11:29:00
4370,4129,93,03-03-2018 11:29:00
4370,4129,97,03-03-2018 11:29:00
4370,4129,54,03-03-2018 11:29:00
4370,4129,27,03-03-2018 11:29:00
4370,4129,43,03-03-2018 11:29:00
4370,4129,80,03-03-2018 11:29:00
4370,4129,62,03-03-2018 11:29:00
4370,4129,30,03-03-2018 11:29:00
4370,4129,63,03-03-2018 11:29:00
4370,4129,37,03-03-2018 11:29:00
4370,4129,11,03-03-2018 11:29:00
4370,4129,37,03-03-2018 11:29:00
4370,4129,90,03-03-2018 11:29:00
4370,4129,23,03-03-2018 11:29:00
4370,4129,14,03-03-2018 11:29:00
4370,4129,23,03-03-2018 11:29:00
4370,4129,38,03-03-2018 11:29:00
4370,4129,59,03-03-2018 11:29:00
4370,4129,100,03-03-2018 11:29:00
4370,4129,43,03-03-2018 11:29:00
4370,4129,89,03-03-2018 11:29:00
4370,4129,42,03-03-2018 11:29:00
4370,4129,56,03-03-2018 11:29:00
2206,945,55,03-03-2018 11:29:00
2206,945,88,03-03-2018 11:29:00
2206,945,81,03-03-2018 11:29:00
2206,945,64,03-03-2018 11:29:00
2206,945,62,03-03-2018 11:29:00
2206,945,97,03-03-2018 11:29:00
2206,945,86,03-03-2018 11:29:00
2206,945,35,03-03-2018 11:29:00
2206,945,45,03-03-2018 11:29:00
2206,945,70,03-03-2018 11:29:00
2206,945,56,03-03-2018 11:29:00
2206,945,48,03-03-2018 11:29:00
2206,945,71,03-03-2018 11:29:00
2206,945,32,03-03-2018 11:29:00
2206,945,76,03-03-2018 11:29:00
2206,945,64,03-03-2018 11:29:00
2206,945,35,03-03-2018 11:29:00
2206,945,59,03-03-2018 11:29:00
2206,945,24,03-03-2018 11:29:00
2206,945,39,03-03-2018 11:29:00
2206,945,21,03-03-2018 11:29:00
2206,945,39,03-03-2018 11:29:00
2206,945,23,03-03-2018 11:29:00
2206,945,66,03-03-2018 11:29:00
2206,945,46,03-03-2018 11:29:00
2206,945,48,03-03-2018 11:29:00
2206,945,58,03-03-2018 11:29:00
2206,945,76,03-03-2018 11:29:00
2206,945,39,03-03-2018 11:29:00
2206,945,29,03-03-2018 11:29:00
2206,945,55,03-03-2018 11:29:00
2206,945,68,03-03-2018 11:29:00
2206,945,40,03-03-2018 11:29:00
2206,945,30,03-03-2018 11:29:00
2206,945,31,03-03-2018 11:29:00
2206,945,59,03-03-2018 11:29:00
2206,945,96,03-03-2018 11:29:00
2206,945,97,03-03-2018 11:29:00
2206,945,93,03-03-2018 11:29:00
2206,945,65,03-03-2018 11:29:00
2206,945,82,03-03-2018 11:29:00
2206,945,78,03-03-2018 11:29:00
2206,945,87,03-03-2018 11:29:00
2206,945,64,03-03-2018 11:29:00
2206,945,26,03-03-2018 11:29:00
2206,945,37,03-03-2018 11:29:00
2206,945,78,03-03-2018 11:29:00
2206,945,16,03-03-2018 11:29:00
2206,945,78,03-03-2018 11:29:00
2206,945,37,03-03-2018 11:29:00
3106,5219,61,03-03-2018 11:29:00
3106,5219,83,03-03-2018 11:29:00
3106,5219,40,03-03-2018 11:29:00
3106,5219,78,03-03-2018 11:29:00
3106,5219,20,03-03-2018 11:29:00
3106,5219,84,03-03-2018 11:29:00
3106,5219,10,03-03-2018 11:29:00
3106,5219,59,03-03-2018 11:29:00
3106,5219,62,03-03-2018 11:29:00
3106,5219,25,03-03-2018 11:29:00
3106,5219,84,03-03-2018 11:29:00
3106,5219,19,03-03-2018 11:29:00
3106,5219,24,03-03-2018 11:29:00
3106,5219,85,03-03-2018 11:29:00
3106,5219,39,03-03-2018 11:29:00
3106,5219,48,03-03-2018 11:29:00
3106,5219,87,03-03-2018 11:29:00
3106,5219,64,03-03-2018 11:29:00
3106,5219,42,03-03-2018 11:29:00
3106,5219,80,03-03-2018 11:29:00
3106,5219,71,03-03-2018 11:29:00
3106,5219,11,03-03-2018 11:29:00
